ID,title,volume,DOI
45,Picking Out Nonlinear Collective Couplings with Two-Dimensional Terahertz Spectroscopy,2020-May,
46,Measured Polarization Components of Nonlinear Thomson Scattering,2020-May,
47,"Analysis of perceived social impacts of existing products designed for the developing world, with implications for new product development",142,10.1115/1.4044323
48,Direct macro-to-micro interface method for microfluidics,30,10.1088/1361-6439/ab7f53
49,Impact of part thickness and drying conditions on saturation limits in binder jet additive manufacturing,33,10.1016/j.addma.2020.101127
50,DNA origami mediated electrically connected metal—semiconductor junctions,13,10.1007/s12274-020-2672-5
51,Kcollections: A fast and efficient library for K-mers,,10.1109/IPDPSW50202.2020.00041
52,Spectral and Dynamic Consequences of Network Specialization,30,10.1142/S0218127420500911
53,Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems,363,10.1016/j.cma.2020.112900
54,SR-SYBA: A scale and rotation invariant synthetic basis feature descriptor with low memory usage,9,10.3390/electronics9050810
55,Discrete-ordinates modelling of the radiative heat transfer in a pilot-scale rotary kiln,13,10.3390/en13092192
56,Single-Shot Measurement of Extreme Ultraviolet Free Electron Laser Pulses,2020-May,
57,Cryogenic Stress-Driven Grain Growth Observed via Microcompression with in situ Electron Backscatter Diffraction,72,10.1007/s11837-020-04075-x
58,Biocompatible PEGDA Resin for 3D Printing,3,10.1021/acsabm.0c00055
59,Reducing Cycle Times of Refill Friction Stir Spot Welding in Automotive Aluminum Alloys,2020-April,10.4271/2020-01-0224
60,A Method for Creating Product Social Impact Models of Engineered Products,142,10.1115/1.4044161
61,Real-Time Nonlinear Model Predictive Control of Robots Using a Graphics Processing Unit,5,10.1109/LRA.2020.2965393
62,Using Partial Duplication with Compare to Detect Radiation-Induced Failure in a Commercial FPGA-Based Networking System,2020-April,10.1109/IRPS45951.2020.9128839
63,3D hydrodynamic focusing in microscale optofluidic channels formed with a single sacrificial layer,11,10.3390/MI11040349
64,"Teaching and Learning Electromagnetics in 2020: Issues, trends, opportunities, and ideas for developing courses",62,10.1109/MAP.2020.2969269
65,Turbulence modulation in particle-laden stationary homogeneous isotropic turbulence using one-dimensional turbulence,5,10.1103/PhysRevFluids.5.044308
66,Validated Lateral Seismic Force-Displacement Backbone Curves for High-Speed Rail Bridge Abutments,25,10.1061/(ASCE)BE.1943-5592.0001533
67,High-Throughput Exploration of Lithium-Alloy Protection Layers for High-Performance Lithium-Metal Batteries,3,10.1021/acsaem.9b02252
68,Measuring height characteristics of sagebrush (Artemisia sp.) using imagery derived from small unmanned aerial systems (SUAS),4,10.3390/drones4010006
69,Oxidation efficiency of glucose using viologen mediators for glucose fuel cell applications with non-precious anodes,261,10.1016/j.apenergy.2019.114382
70,A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,2020-March,10.1109/CICC48029.2020.9075917
71,Controlling martensite and pearlite formation with cooling rate and temperature control in rotary friction welding,150,10.1016/j.ijmachtools.2019.103512
72,Smart camera for quality inspection and grading of food products,9,10.3390/electronics9030505
73,Optimization and implementation of synthetic basis feature descriptor on FPGA,9,10.3390/electronics9030391
74,Nanoparticle orientation distribution analysis and design for polymeric piezoresistive sensors,303,10.1016/j.sna.2020.111851
75,Optimization of laser sintering for demineralized bone/polycaprolactone composite powder for bone tissue scaffold,4,10.3390/jmmp4010007
76,A CPRBM-based method for large-deflection analysis of contact-aided compliant mechanisms considering beam-to-beam contacts,145,10.1016/j.mechmachtheory.2019.103700
77,Non-catalytic ash effect on char reactivity,260,10.1016/j.apenergy.2019.114358
78,Generalized regular k-point grid generation on the fly,173,10.1016/j.commatsci.2019.109340
79,Compact structure with high TX-RX isolation for frequency domain duplexing on printed circuit boards,34,10.1080/09205071.2020.1715267
80,"Closed-Loop, Axial Temperature Control of Etched Silicon Microcolumn for Tunable Thermal Gradient Gas Chromatography",29,10.1109/JMEMS.2019.2953152
81,Grain boundary structure–property model inference using polycrystals: the overdetermined case,55,10.1007/s10853-019-04125-z
82,"Thermal transport due to buoyant flow past a vertical, heated superhydrophobic surface with uniform stream-wise slip",148,10.1016/j.ijheatmasstransfer.2019.119031
83,The effects of doping alumina with silica in alumina-supported NiO catalysts for oxidative dehydrogenation of ethane,293,10.1016/j.micromeso.2019.109799
84,Adaptive relay autotuning under static and non-static disturbances with application to friction stir welding,97,10.1016/j.isatra.2019.08.014
85,Postprocessing the outputs of an interacting multiple-model Kalman filter using a Markovian trellis to estimate parameter values of aged Li-ion cells,27,10.1016/j.est.2019.101043
86,Sparse Equalization in Aeronautical Telemetry Using Two Transmit Antennas,56,10.1109/TAES.2019.2918014
87,Full-scale 3D-modelling of the radiative heat transfer in rotary kilns with a present bed material,147,10.1016/j.ijheatmasstransfer.2019.118924
88,The biotech living and the walking dead,38,10.1038/s41587-019-0399-1
89,An investigation of geometrically necessary dislocations and back stress in large grained tantalum via EBSD and CPFEM,772,10.1016/j.msea.2019.138704
90,"Technological turbulence and greening of team creativity, product innovation, and human resource management: Implications for sustainability",244,10.1016/j.jclepro.2019.118703
91,Optimising the design of phased array feeds for survey speed,56,10.1049/el.2019.2591
92,Latanoprost uptake and release from commercial contact lenses,31,10.1080/09205063.2019.1669126
93,Nanoantibiotics containing membrane-active human cathelicidin LL-37 or synthetic ceragenins attached to the surface of magnetic nanoparticles as novel and innovative therapeutic tools: Current status and potential future applications,18,10.1186/s12951-019-0566-z
94,Analysis of distortion phase shift in a highly loaded fan stage,1 PartF,10.2514/6.2020-0132
95,Using Cyclic Quadrilaterals to Design Cylindrical Developable Mechanisms,83,10.1007/978-3-030-43929-3_14
96,Optical measurement of voids in situ during infusion of carbon reinforcements,,10.1177/0021998320959820
97,Simphony: An open-source photonic integrated circuit simulation framework,,10.1109/MCSE.2020.3012099
98,"Designer Thinking, A Unique Combination of Cognitive Modes",1202 AISC,10.1007/978-3-030-51194-4_40
99,Rethinking Our Assumptions About Language Model Evaluation,1229 AISC,10.1007/978-3-030-52246-9_44
100,Nanofluidic peristaltic pumps made from silica thin films,30,10.1088/1361-6439/ab4cc9
101,Modeling common cause failures in systems with triple modular redundancy and repair,2020-January,10.1109/RAMS48030.2020.9153662
102,Comparing model-based control methods for simultaneous stiffness and position control of inflatable soft robots,,10.1177/0278364920911960
103,Analysis and evaluation of partitioning techniques for multi-user CAD,17,10.14733/cadaps.2020.1020-1033
104,"Automated sounding for concrete bridge deck inspection through a multi-channel, continuously moving platform",109,10.1016/j.ndteint.2019.102177
105,"Design and analysis of self-deployable, self-stiffening, and retractable arrays",1 PartF,10.2514/6.2020-1543
106,Unpacking the Mathematics of Modeling Origami Folding Transformations with Quaternions,83,10.1007/978-3-030-43929-3_21
107,"Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft",58,10.2514/1.J058778
108,Developing Decision Boundaries for Left-Turn Treatments,2674,10.1177/0361198120915470
109,Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,1228 AISC,10.1007/978-3-030-52249-0_18
110,Simulation and Emulation of X-Ray Diffraction from Dynamic Compression Experiments,,10.1007/s40870-020-00254-8
111,Single pursuer and two cooperative evaders in the border defense differential game,17,10.2514/1.I010766
112,Volume and frequency-independent spreading of droplets driven by ultrasonic surface vibration,5,10.3390/fluids5010018
113,Improving the Reliability of TMR with Nontriplicated I/O on SRAM FPGAs,67,10.1109/TNS.2019.2956473
114,Statistical method to extract radiation-induced multiple-cell upsets in SRAM-Based FPGAs,67,10.1109/TNS.2019.2955006
115,Electromagnetic excitation technique for nonlinear resonant ultrasound spectroscopy,109,10.1016/j.ndteint.2019.102181
116,On the modeling of a contact-aided cross-axis flexural pivot,143,10.1016/j.mechmachtheory.2019.103618
117,Model predictive control and estimation of managed pressure drilling using a real-time high fidelity flow model,,10.1016/j.isatra.2020.05.035
118,Coherence analysis of the noise from a simulated highly heated laboratory-scale jet,58,10.2514/1J059112
119,Measuring Compliance of Driver Yielding at Enhanced Pedestrian Crossings in Utah,2674,10.1177/0361198120915466
120,Array Antenna Gain Enhancement with the Poynting Streamline Method,19,10.1109/LAWP.2019.2956219
121,Exact relations between Rayleigh-Bénard and rotating plane Couette flow in two dimensions,,10.1017/jfm.2020.718
122,Cooperative relative navigation of multiple aircraft in global positioning system-denied/degraded environments,17,10.2514/1.I010802
123,Convolutional Neural Network Based on Complex Networks for Brain Tumor Image Classification with a Modified Activation Function,8,10.1109/ACCESS.2020.2993618
124,Applying Compiler-Automated Software Fault Tolerance to Multiple Processor Platforms,67,10.1109/TNS.2019.2959975
125,Kinetostatic and dynamic modeling of flexure-based compliant mechanisms: A survey,72,10.1115/1.4045679
126,Guest editorial an overview of the seabed characterization experiment,45,10.1109/JOE.2019.2956606
127,Augmented Reality for Interactive Robot Control,,10.1007/978-3-030-12243-0_2
128,Visio-acoustic data fusion for structural health monitoring applications,,10.1007/978-3-030-47721-9_5
129,A Low-Profile High-Efficiency Fast Battery Charger With Unifiable Constant-Current and Constant-Voltage Regulation,,10.1109/TCSI.2020.3007827
130,Atomic flux circuits,11296,10.1117/12.2552585
131,"Detecting and imaging stress corrosion cracking in stainless steel, with application to inspecting storage canisters for spent nuclear fuel",109,10.1016/j.ndteint.2019.102180
132,Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,2020-February,10.1061/9780784482810.020
133,When do workarounds help or hurt patient outcomes? The moderating role of operational failures,66,10.1002/joom.1015
134,Glue Technologies for Space Systems: An Introduction to a New AESS Technical Panel,35,10.1109/MAES.2019.2959104
135,A New Boundary Harnack Principle (Equations with Right Hand Side),234,10.1007/s00205-019-01415-3
136,Streamlining the preparation of “endotoxin-free” ClearColi cell extract with autoinduction media for cell-free protein synthesis of the therapeutic protein crisantaspase,4,10.1016/j.synbio.2019.11.003
137,Developable mechanisms on regular cylindrical surfaces,142,10.1016/j.mechmachtheory.2019.103584
138,Contributions of Tip Leakage and Inlet Diffusion on Inducer Backflow,141,10.1115/1.4043770
139,Modeling acoustic resonators using higher-order equivalent circuits,67,10.3397/1/376742
140,"Adapting standard external clustering metrics for repetitive, noisy observations",,10.1109/ICMLA.2019.00157
141,The effects of voids in quasi-static indentation of resin-infused reinforced polymers,53,10.1177/0021998319858024
142,"Isogeometric boundary element methods and patch tests for linear elastic problems: Formulation, numerical integration, and applications",357,10.1016/j.cma.2019.112591
143,Irregular quadrature amplitude modulation for adaptive physical-layer security,,10.1109/GLOBECOM38437.2019.9013808
144,Machine-learned multi-system surrogate models for materials prediction,5,10.1038/s41524-019-0189-9
145,Synchronization between sensors and cameras in movement data labeling frameworks,,10.1145/3359427.3361920
146,Nonreciprocal Radio System Calibration for Propagation-Based Key Generation,67,10.1109/TAP.2019.2925177
147,"Associations between evaporative cooling and dust-mite allergens, endotoxins, and β-(1 → 3)-d-glucans in house dust: A study of low-income homes",29,10.1111/ina.12600
148,"Heat transfer, efficiency and turn-down ratio of a dynamic radiative heat exchanger",143,10.1016/j.ijheatmasstransfer.2019.118441
149,Space-Time Coded ARTM CPM for Aeronautical Telemetry,2019-November,10.1109/MILCOM47813.2019.9020989
150,Efficient evolutionary learning algorithm for real-time embedded vision applications,8,10.3390/electronics8111367
151,Johnny's Journey Toward Usable Secure Email,17,10.1109/MSEC.2019.2933683
152,Model Boundary Approximation Method as a Unifying Framework for Balanced Truncation and Singular Perturbation Approximation,64,10.1109/TAC.2019.2908523
153,Quality assessment of images with multiple distortions based on phase congruency and gradient magnitude,79,10.1016/j.image.2019.08.013
154,Heat set creases in polyethylene terephthalate (PET) sheets to enable origami-based applications,28,10.1088/1361-665X/ab49df
155,Identifying the relative importance of predictive variables in artificial neural networks based on data produced through a discrete event simulation of a manufacturing environment,39,10.1080/02286203.2018.1558736
156,Moderating operator influence in human-swarm systems,2019-October,10.1109/SMC.2019.8914592
157,Intent-based robotic path-replanning: When to adapt new paths in dynamic environments,2019-October,10.1109/SMC.2019.8914520
158,Proving data race freedom in task parallel programs using a weaker partial order,,10.23919/FMCAD.2019.8894270
159,Identifying Team Selection and Alignment Factors by Delivery Method for Transportation Projects,145,10.1061/(ASCE)CO.1943-7862.0001704
160,On Sparse Channel Estimation in Aeronautical Telemetry,55,10.1109/TAES.2018.2890350
161,Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,,10.1109/NAPS46351.2019.8999986
162,Network Reduction in Transient Stability Models using Partial Response Matching,,10.1109/NAPS46351.2019.9000378
163,Origami-inspired sacrificial joints for folding compliant mechanisms,140,10.1016/j.mechmachtheory.2019.05.023
164,Observed building damage patterns and foundation performance in Mexico City following the 2017 M7.1 Puebla-Mexico City earthquake,125,10.1016/j.soildyn.2019.105708
165,Using non-destructive testing to predict bending modulus of carbon infiltrated-carbon nanotubes,29,10.1088/1361-6439/ab3fd2
166,Mechanical and temperature resilience of multi-material systems for printed electronics packaging,4,10.1088/2058-8585/ab38e9
167,Feedback regulation of immune response to maximum exercise in Gulf war illness,,10.1145/3307339.3342188
168,Examining Nonlinear Terahertz Photonic and Phononic Excitation with Two-Dimensional Spectroscopy,2019-September,10.1109/IRMMW-THz.2019.8874439
169,Direct Comparison between Multi-Dimensional Terahertz Vibrational Spectroscopies,2019-September,10.1109/IRMMW-THz.2019.8874285
170,Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip: Isoflux wall,140,10.1016/j.ijheatmasstransfer.2019.05.113
171,Just-noticeable difference binary pattern for reduced reference image quality assessment,58,10.1117/1.OE.58.9.093105
172,Free Space Excitation in Optofluidic Devices for Single Particle Detection,,10.1109/IPCon.2019.8908404
173,Multiplexed Detection of Single Antibiotic Drug-Resistant Plasmids using Multimode Interference Waveguide Based Optofluidic Chip,,10.1109/IPCon.2019.8908388
174,Three-Dimensional Hydrodynamic Focusing Designs for Integrated Optofluidic Detection Enhancement,,10.1109/IPCon.2019.8908414
175,Transparency: Transitioning From Human–Machine Systems to Human-Swarm Systems,13,10.1177/1555343419842776
176,An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,2,10.1109/LSSC.2019.2931440
177,An APMonitor Temperature Lab PID Control Experiment for Undergraduate Students,2019-September,10.1109/ETFA.2019.8869247
178,Design of a Clinical Decision Support System for Predicting Erectile Dysfunction in Men Using NHIRD Dataset,23,10.1109/JBHI.2018.2877595
179,Structure descriptor based on just noticeable difference for texture image classification,58,10.1364/AO.58.006504
180,3D hydrodynamic flow focusing-based micromixer enables high-resolution imaging for studying the early folding kinetics of G-quadruplex,293,10.1016/j.snb.2019.05.026
181,Thermal and hydrothermal stability of pure and silica-doped mesoporous aluminas,284,10.1016/j.micromeso.2019.04.005
182,"Binder jetting: A review of process, materials, and methods",28,10.1016/j.addma.2019.05.031
183,Simulated Tremor Propagation in the Upper Limb: From Muscle Activity to Joint Displacement,141,10.1115/1.4043442
184,Hardware friendly robust synthetic basis feature descriptor,8,10.3390/electronics8080847
185,"The September 19, 2017 Mw 7.1 Puebla-Mexico city earthquake: Important findings from the field – Overview of Special Edition",123,10.1016/j.soildyn.2019.05.019
186,Generating a Binary Symmetric Channel for Wiretap Codes,14,10.1109/TIFS.2019.2892010
187,Evaluation of intermetallic compound layer at aluminum/steel interface joined by friction stir scribe technology,174,10.1016/j.matdes.2019.107795
188,Soft body armor time-dependent back face deformation (BFD) with ballistics gel backing,220,10.1016/j.compstruct.2019.04.025
189,Phase II monitoring of variability using Cusum and EWMA charts with individual observations,31,10.1080/08982112.2018.1557205
190,Relative moving target tracking and circumnavigation,2019-July,10.23919/acc.2019.8815178
191,Visual servoing with feed-forward for precision shipboard landing of an autonomous multirotor,2019-July,10.23919/acc.2019.8814694
192,Tracking multiple vehicles constrained to a road network from a uav with sparse visual measurements,2019-July,10.23919/acc.2019.8815384
193,Abstractions and realizations of dynamic networks,2019-July,10.23919/acc.2019.8814844
194,Quantifying the effects of various factors on the utility of design ethnography in the developing world,30,10.1007/s00163-018-00304-2
195,Single-Event Characterization of a Stratix® 10 FPGA Using Neutron Irradiation,2019-July,10.1109/REDW.2019.8906534
196,Neutron radiation testing of fault tolerant risc-v soft processor on xilinx SRAM-based FPGAs,,10.1109/SpaceComp.2019.00008
197,Extended Abstract: Comparison of Peer and Instructor Qualitative Feedback on Presentations,2019-July,10.1109/ProComm.2019.00022
198,Experimental Performance of Block-Out Connections at the Base of Steel Moment Frames,145,10.1061/(ASCE)ST.1943-541X.0002333
199,Lower-bound dislocation density mapping in microcoined tantalum using high-resolution electron backscatter diffraction,153,10.1016/j.matchar.2019.04.033
200,Enhanced-Resolution SMAP Brightness Temperature Image Products,57,10.1109/TGRS.2018.2889427
201,Normalized Coordinate Equations and an Energy Method for Predicting Natural Curved-Fold Configurations,86,10.1115/1.4043285
202,Heat transfer to bouncing droplets on superhydrophobic surfaces,137,10.1016/j.ijheatmasstransfer.2019.03.103
203,"Relationships between footwear, foot structure, and foot muscle strength",11,10.1080/19424280.2019.1606340
204,Running shoe optimal stiffness and speed,11,10.1080/19424280.2019.1606336
205,Accelerating silicon photonic parameter extraction using artificial neural networks,2,10.1364/OSAC.2.001964
206,Effect of Post-weld Heat Treatment on Microstructure and Mechanical Properties of Dissimilar Metal Weld Used in Power Plants,50,10.1007/s11661-019-05223-y
207,S-splines: A simple surface solution for IGA and CAD,350,10.1016/j.cma.2019.03.035
208,Atomistic survey of grain boundary-dislocation interactions in FCC nickel,164,10.1016/j.commatsci.2019.04.007
209,Lowman's model goes back to the movies,,
210,Achieving tiered model quality in 3D structure from motion models using a multi-scale view-planning algorithm for automated targeted inspection,19,10.3390/s19122703
211,"Disaster reconnaissance using multiple small unmanned aerial vehicles""",141,10.1115/1.2019-JUN5
212,EFFECT OF GYROSCOPE PARAMETERS ON GYROSCOPIC TREMOR SUPPRESSION IN A SINGLE DEGREE OF FREEDOM,19,10.1142/S0219519419500246
213,Deep RC: Enabling remote control through deep learning,,10.1109/ICUAS.2019.8798325
214,Encirclement of moving targets using relative range and bearing measurements,,10.1109/ICUAS.2019.8798252
215,Error-state LQR control of a multirotor UAV,,10.1109/ICUAS.2019.8798359
216,Visual servoing for multirotor precision landing in daylight and after-dark conditions,,10.1109/ICUAS.2019.8798020
217,A review of binarized neural networks,8,10.3390/electronics8060661
218,Improved Ultrahigh-Resolution Wind Retrieval for RapidScat,57,10.1109/TGRS.2018.2884128
219,Scatterometer Backscatter Imaging Using Backus-Gilbert Inversion,57,10.1109/TGRS.2018.2882136
220,Don't Punish all of us: Measuring User Attitudes about Two-Factor Authentication,,10.1109/EuroSPW.2019.00020
221,Gesture commands for controlling high-level UAV behavior,,10.1109/ICUAS.2019.8797743
222,Using case-method pedagogy to facilitate audience awareness,62,10.1109/TPC.2019.2893464
223,Highly accurate acoustic scattering: Isogeometric Analysis coupled with local high order Farfield Expansion ABC,349,10.1016/j.cma.2019.03.005
224,Dynamic optimization of a district energy system with storage using a novel mixed-integer quadratic programming algorithm,20,10.1007/s11081-018-09419-w
225,Data classification and parameter identification in power systems by manifold learning,,10.1109/PTC.2019.8810557
226,Fabrication of demineralized bone matrix/polycaprolactone composites using large area projection sintering (LAPS),3,10.3390/jmmp3020030
227,Modeling of trans-grain twin transmission in AZ31 via a neighborhood-based viscoplastic self-consistent model,117,10.1016/j.ijplas.2018.03.012
228,Site effects in Mexico City basin: Past and present,121,10.1016/j.soildyn.2019.02.028
229,Thermal and Vapor Smoothing of Thermoplastic for Reduced Surface Roughness of Additive Manufactured RF Electronics,9,10.1109/TCPMT.2019.2910791
230,In-plane permeability characterization of engineering textiles based on radial flow experiments: A benchmark exercise,121,10.1016/j.compositesa.2019.03.006
231,Non-canonical amino acid labeling in proteomics and biotechnology,13,10.1186/s13036-019-0166-3
232,Physical-Layer Security: Does it Work in a Real Environment?,2019-May,10.1109/ICC.2019.8761418
233,"Jet features: Hardware-friendly, learned convolutional kernels for high-speed image classification",8,10.3390/electronics8050588
234,The design critique and the moral goods of studio pedagogy,62,10.1016/j.destud.2019.02.001
235,Single Particle Detection Enhancement with Wavelet-based Signal Processing Technique,,10.23919/CLEO.2019.8749395
236,Sagittal plane walking biomechanics in individuals with knee osteoarthritis after quadriceps strengthening,27,10.1016/j.joca.2018.12.026
237,Recognition of Chinese food using convolutional neural network,78,10.1007/s11042-018-6695-9
238,Kinetostatic and dynamic analyses of planar compliant mechanisms via a two-port dynamic stiffness model,57,10.1016/j.precisioneng.2019.04.004
239,Optofluidic Platform with Integrated Optical Waveguides and Sample Preparation for Digitized Detection of Nucleic Acid Targets,,10.23919/CLEO.2019.8749806
240,Full-Duplex Jamming for Enhanced Hidden-Key Secrecy,2019-May,10.1109/ICC.2019.8761586
241,Adaptive Physical-Layer Security Through Punctured Coding for Secrecy,2019-May,10.1109/ICC.2019.8761595
242,The use of a binary chelate formulation: Could gadolinium based linear contrast agents be rescued by the addition of zinc selective chelates?,58,10.1016/j.mri.2019.01.001
243,High-throughput simulations for insight into grain boundary structure-property relationships and other complex microstructural phenomena,161,10.1016/j.commatsci.2019.01.041
244,The AFLOW Library of Crystallographic Prototypes: Part 2,161,10.1016/j.commatsci.2018.10.043
245,Informatics analysis of capillary electropherograms of autologously doped and undoped blood,11,10.1039/c9ay00192a
246,Origami-Based Design of Conceal-and-Reveal Systems,11,10.1115/1.4042427
247,A usability study of four secure email tools using paired participants,22,10.1145/3313761
248,Deconfliction in high-density unmanned aerial vehicle systems,27,10.2514/1.D0119
249,Approximate MLSE Equalization of SOQPSK-TG in Aeronautical Telemetry,55,10.1109/TAES.2018.2864807
250,Losartan attenuates progression of osteoarthritis in the synovial temporomandibular and knee joints of a chondrodysplasia mouse model through inhibition of TGF-β1 signaling pathway,27,10.1016/j.joca.2018.12.016
251,Impact of pulse length on the accuracy of defect depth measurements in pulse thermography,141,10.1115/1.4042785
252,Predicting recrystallized grain size in friction stir processed 304L stainless steel,35,10.1016/j.jmst.2018.10.021
253,Polar coding for physical-layer security without knowledge of the eavesdropper's channel,2019-April,10.1109/VTCSpring.2019.8746472
254,"Direct Relative Edge Optimization, A Robust Alternative for Pose Graph Optimization",4,10.1109/LRA.2019.2896478
255,Compressive strength of high-strength concrete masonry grouted prisms,202,10.1016/j.conbuildmat.2019.01.037
256,The polygraph: A data structure for genome alignment and variation detection,,
257,Quantifying accuracy of a concept laser metal additive machine through the NIST test artifact,25,10.1108/RPJ-01-2018-0029
258,Automated Air-Coupled Impact-Echo Testing of a Concrete Bridge Deck from a Continuously Moving Platform,38,10.1007/s10921-019-0566-9
259,The Effect of Antenna Mutual Coupling on MIMO Radar System Performance,67,10.1109/TAP.2018.2888702
260,Turning depths: Evanescent to propagating wave kinetic energy density,4,10.1103/PhysRevFluids.4.034803
261,Microstructural evaluation of hydrogen embrittlement and successive recovery in advanced high strength steel,265,10.1016/j.jmatprotec.2018.09.039
262,Over-Design Versus Redesign as a Response to Future Requirements,141,10.1115/1.4042335
263,Control of Net Radiative Heat Transfer with a Variable-Emissivity Accordion Tessellation,141,10.1115/1.4042442
264,Biocompatible and sustainable power supply for self-powered wearable and implantable electronics using III-nitride thin-film-based flexible piezoelectric generator,57,10.1016/j.nanoen.2018.12.080
