article_ID,publisher_ID,year
623,209,2017
624,197,2017
625,197,2017
626,32,2017
627,84,2018
628,329,2017
629,66,2017
630,123,2017
631,147,2017
632,374,2017
633,172,2016
634,29,2018
635,19,2018
636,247,2018
637,214,2017
638,73,2017
639,252,2017
640,309,2018
641,368,2018
642,42,2017
643,345,2018
644,358,2016
645,78,2016
646,181,2018
647,211,2017
648,19,2017
649,314,2018
650,239,2017
651,198,2018
652,235,2017
653,25,2016
654,52,2017
655,242,2017
656,399,2016
657,78,2016
658,11,2016
659,17,2017
660,307,2017
661,317,2015
662,68,2015
663,323,2017
664,166,2016
665,54,2015
666,359,2015
667,282,2017
668,333,2015
669,178,2017
670,100,2015
671,197,2016
672,402,2017
673,398,2016
674,399,2015
675,252,2017
676,57,2016
677,31,2016
678,313,2017
679,359,2015
680,240,2017
681,315,2016
682,324,2016
683,173,2017
684,334,2016
685,64,2015
686,350,2017
687,366,2015
688,319,2017
689,152,2017
690,404,2017
691,66,2015
692,199,2016
693,151,2015
694,382,2017
695,349,2016
696,63,2017
697,266,2016
698,403,2016
699,97,2015
700,20,2015
701,401,2016
702,201,2016
703,228,2017
704,191,2017
705,388,2015
706,98,2015
707,234,2016
708,183,2015
709,324,2016
710,39,2016
711,23,2017
712,21,2015
713,249,2015
714,131,2017
715,14,2015
716,267,2017
717,342,2017
718,292,2017
719,293,2017
720,111,2016
721,118,2017
722,48,2016
723,398,2015
724,322,2016
725,400,2017
726,258,2017
727,358,2016
728,269,2015
729,216,2016
730,260,2017
731,157,2017
732,59,2017
733,75,2016
734,219,2015
735,290,2015
736,217,2017
737,44,2016
738,54,2016
739,213,2017
740,33,2016
741,51,2015
742,213,2017
743,397,2017
744,80,2015
745,376,2017
746,16,2015
747,229,2015
748,221,2017
749,352,2016
750,214,2017
751,16,2015
752,255,2016
753,167,2015
754,370,2017
755,130,2017
756,41,2016
757,181,2016
758,37,2015
759,63,2016
760,184,2017
761,355,2015
762,16,2017
763,177,2016
764,179,2016
765,92,2017
766,6,2016
767,119,2015
768,188,2016
769,37,2017
770,306,2016
771,74,2016
772,107,2015
773,2,2015
774,105,2016
775,338,2017
776,345,2017
777,375,2017
778,64,2016
779,383,2017
780,4,2015
781,151,2017
782,189,2016
783,354,2015
784,13,2016
785,310,2016
786,120,2016
787,73,2016
788,96,2015
789,233,2016
790,58,2016
791,245,2015
792,177,2015
793,363,2016
794,133,2017
795,67,2017
796,15,2017
797,107,2017
798,186,2015
799,172,2016
800,243,2015
801,150,2017
802,152,2015
803,284,2015
804,326,2015
805,168,2015
806,95,2016
807,304,2016
808,42,2015
809,53,2015
810,274,2017
811,298,2015
812,158,2016
813,81,2015
814,193,2017
815,76,2016
816,65,2015
817,115,2017
818,162,2016
819,261,2016
820,125,2017
821,122,2015
822,387,2017
823,95,2015
824,150,2016
825,191,2016
826,215,2016
827,340,2015
828,24,2017
829,68,2016
830,308,2015
831,11,2017
832,202,2016
833,40,2016
834,360,2016
835,38,2017
836,68,2015
837,216,2017
838,154,2016
839,282,2015
840,214,2015
841,380,2016
842,73,2017
843,303,2017
844,217,2016
845,153,2016
846,327,2015
847,182,2016
848,44,2016
849,128,2015
850,228,2017
851,324,2016
852,190,2017
853,327,2016
854,271,2016
855,30,2015
856,193,2017
857,210,2015
858,5,2015
859,214,2017
860,373,2016
861,165,2016
862,226,2016
863,105,2016
864,191,2015
865,151,2015
866,242,2017
867,47,2016
868,95,2015
869,56,2017
870,142,2015
871,58,2015
872,286,2016
873,311,2016
874,353,2015
875,79,2016
876,360,2017
877,229,2015
878,205,2015
879,95,2016
880,394,2016
