author,titles
http://kg_sdm.org/Person/Magleby_S_P_,"Designing for power transfer across fold-lines in mechanisms with origami-like movement using surrogate folds
_____
Highly compressible origami bellows for microgravity drilling-debris containment
_____
Thick folding through regionally-sandwiched compliant sheets
_____
Using Cyclic Quadrilaterals to Design Cylindrical Developable Mechanisms
_____
A Review of Thickness-Accommodation Techniques in Origami-Inspired Engineering
_____
Closure to ""discussion of 'a review of thickness-accommodation techniques in origami-inspired engineering'"" (Lang, R. J., Tolman, K. A., Crampton, E. B., Magleby, S. P., and Howell, L. L., 2018, ASME Appl. Mech. Rev., 70(1), p. 010805)
_____
Realizing origami mechanisms from metal sheets
_____
Thick rigidly foldable origami mechanisms based on synchronized offset rolling contact elements"
http://kg_sdm.org/Person/Allred_D_D_,Thermal properties of thin film uranium oxides and thorium oxides
http://kg_sdm.org/Person/Munro_T_,Thermal properties of thin film uranium oxides and thorium oxides
http://kg_sdm.org/Person/Amini_E_,"Investigation of merging flames in Horizontal and vertical Geometries
_____
Investigation of merging flames in horizontal and vertical geometries"
http://kg_sdm.org/Person/Rahmati_M_,Investigation of merging flames in Horizontal and vertical Geometries
http://kg_sdm.org/Person/Safdari_M__S_,"Investigation of merging flames in Horizontal and vertical Geometries
_____
Investigation of merging flames in horizontal and vertical geometries"
http://kg_sdm.org/Person/Anderson_B_E_,"Nonlinear resonant ultrasound spectroscopy of stress corrosion cracking in stainless steel rods
_____
Time reversal techniques"
http://kg_sdm.org/Person/Hogg_S_M_,Nonlinear resonant ultrasound spectroscopy of stress corrosion cracking in stainless steel rods
http://kg_sdm.org/Person/Le_Bas_P__Y_,"Nonlinear resonant ultrasound spectroscopy of stress corrosion cracking in stainless steel rods
_____
Time reversal techniques"
http://kg_sdm.org/Person/Remillieux_M_C_,"Nonlinear resonant ultrasound spectroscopy of stress corrosion cracking in stainless steel rods
_____
Time reversal techniques"
http://kg_sdm.org/Person/Ulrich_T_J_,Time reversal techniques
http://kg_sdm.org/Person/Anderson_R_,Self-Sustaining 3D Thin Liquid Films in Ambient Environments
http://kg_sdm.org/Person/Awerkamp_P_,"Self-Sustaining 3D Thin Liquid Films in Ambient Environments
_____
Hardware and software improvements to a low-cost horizontal parallax holographic video monitor"
http://kg_sdm.org/Person/Camacho_R_M_,"Self-Sustaining 3D Thin Liquid Films in Ambient Environments
_____
Accelerating silicon photonic parameter extraction using artificial neural networks"
http://kg_sdm.org/Person/Carlson_S_,Self-Sustaining 3D Thin Liquid Films in Ambient Environments
http://kg_sdm.org/Person/Fish_D_,Self-Sustaining 3D Thin Liquid Films in Ambient Environments
http://kg_sdm.org/Person/Laney_J_,Self-Sustaining 3D Thin Liquid Films in Ambient Environments
http://kg_sdm.org/Person/Nordin_G_P_,"Self-Sustaining 3D Thin Liquid Films in Ambient Environments
_____
Biocompatible PEGDA Resin for 3D Printing"
http://kg_sdm.org/Person/Simmons_M_,Self-Sustaining 3D Thin Liquid Films in Ambient Environments
http://kg_sdm.org/Person/Viglione_M_,Self-Sustaining 3D Thin Liquid Films in Ambient Environments
http://kg_sdm.org/Person/André_F_,Locally correlated slw model for prediction of gas radiation in non-uniform media
http://kg_sdm.org/Person/Webb_B_W_,Locally correlated slw model for prediction of gas radiation in non-uniform media
http://kg_sdm.org/Person/Ashcraft_C_C_,Moderating operator influence in human-swarm systems
http://kg_sdm.org/Person/Crandall_J_W_,"Moderating operator influence in human-swarm systems
_____
Cooperating in long-term relationships with time-varying structure
_____
Information design in crowdfunding under thresholding policies"
http://kg_sdm.org/Person/Atkinson_N_,Measured Polarization Components of Nonlinear Thomson Scattering
http://kg_sdm.org/Person/Hodge_D_,Measured Polarization Components of Nonlinear Thomson Scattering
http://kg_sdm.org/Person/Peatross_J_,Measured Polarization Components of Nonlinear Thomson Scattering
http://kg_sdm.org/Person/Pratt_B_,Measured Polarization Components of Nonlinear Thomson Scattering
http://kg_sdm.org/Person/Romero_M_,Measured Polarization Components of Nonlinear Thomson Scattering
http://kg_sdm.org/Person/Schulzke_C_,Measured Polarization Components of Nonlinear Thomson Scattering
http://kg_sdm.org/Person/Ware_M_,Measured Polarization Components of Nonlinear Thomson Scattering
http://kg_sdm.org/Person/Averett_T_,Byu mars rover at the 2018 university rover challenge
http://kg_sdm.org/Person/Killpack_M_,Byu mars rover at the 2018 university rover challenge
http://kg_sdm.org/Person/Rice_M_,"Byu mars rover at the 2018 university rover challenge
_____
On carrier frequency and phase synchronization for coded 16-APSK in aeronautical mobile telemetry
_____
Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications
_____
Space-Time Coding for Aeronautical Telemetry: Part II - Decoder and System Performance
_____
Space-Time Coding for Aeronautical Telemetry: Part i - Estimators"
http://kg_sdm.org/Person/Rozsa_J_,Byu mars rover at the 2018 university rover challenge
http://kg_sdm.org/Person/Smalley_D_,Hardware and software improvements to a low-cost horizontal parallax holographic video monitor
http://kg_sdm.org/Person/Bair_J_,Quantum Materials for Energy-Efficient Computing
http://kg_sdm.org/Person/Chowdhury_S_,Quantum Materials for Energy-Efficient Computing
http://kg_sdm.org/Person/Coleman_S_,Quantum Materials for Energy-Efficient Computing
http://kg_sdm.org/Person/Patala_S_,Quantum Materials for Energy-Efficient Computing
http://kg_sdm.org/Person/Zhuang_H_,Quantum Materials for Energy-Efficient Computing
http://kg_sdm.org/Person/Baird_S_,Grain boundary structure–property model inference using polycrystals: the overdetermined case
http://kg_sdm.org/Person/Fullwood_D_,"Grain boundary structure–property model inference using polycrystals: the overdetermined case
_____
Formability of magnesium alloy AZ31B from room temperature to 125, °C under biaxial tension
_____
Effect of environmental and material factors on the response of nanocomposite foam impact sensors
_____
Estimation of 3D Ground Reaction Force Using Nanocomposite Piezo-Responsive Foam Sensors During Walking
_____
Nano-Composite Foam Sensor System in Football Helmets"
http://kg_sdm.org/Person/Homer_E_R_,"Grain boundary structure–property model inference using polycrystals: the overdetermined case
_____
Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel"
http://kg_sdm.org/Person/Johnson_O_K_,Grain boundary structure–property model inference using polycrystals: the overdetermined case
http://kg_sdm.org/Person/Kurniawan_C_,Grain boundary structure–property model inference using polycrystals: the overdetermined case
http://kg_sdm.org/Person/Baker_M_J_,"Extended Abstract: Comparison of Peer and Instructor Qualitative Feedback on Presentations
_____
Using case-method pedagogy to facilitate audience awareness"
http://kg_sdm.org/Person/Baker_W_H_,Extended Abstract: Comparison of Peer and Instructor Qualitative Feedback on Presentations
http://kg_sdm.org/Person/Robles_V_D_,Using case-method pedagogy to facilitate audience awareness
http://kg_sdm.org/Person/Bartschi_J_M_,Compact structure with high TX-RX isolation for frequency domain duplexing on printed circuit boards
http://kg_sdm.org/Person/Kunzler_J_W_,Compact structure with high TX-RX isolation for frequency domain duplexing on printed circuit boards
http://kg_sdm.org/Person/Warnick_K_F_,"Compact structure with high TX-RX isolation for frequency domain duplexing on printed circuit boards
_____
Small aircraft flight encounters database for UAS sense and avoid
_____
Improved Antenna Efficiency Measurement Uncertainty in a Reverberation Chamber at Millimeter-Wave Frequencies"
http://kg_sdm.org/Person/Bates_C_O_,Increasing Student Use of a Learner Dashboard
http://kg_sdm.org/Person/Bodily_R_,Increasing Student Use of a Learner Dashboard
http://kg_sdm.org/Person/Leary_H_,Increasing Student Use of a Learner Dashboard
http://kg_sdm.org/Person/Sansom_R_L_,Increasing Student Use of a Learner Dashboard
http://kg_sdm.org/Person/Bathe_M_,Roadmap on biological pathways for electronic nanofabrication and materials
http://kg_sdm.org/Person/Chrisey_L_A_,Roadmap on biological pathways for electronic nanofabrication and materials
http://kg_sdm.org/Person/Herr_D_J_C_,Roadmap on biological pathways for electronic nanofabrication and materials
http://kg_sdm.org/Person/Lin_Q_,Roadmap on biological pathways for electronic nanofabrication and materials
http://kg_sdm.org/Person/Rasic_D_,Roadmap on biological pathways for electronic nanofabrication and materials
http://kg_sdm.org/Person/Woolley_A_T_,Roadmap on biological pathways for electronic nanofabrication and materials
http://kg_sdm.org/Person/Zadegan_R_M_,Roadmap on biological pathways for electronic nanofabrication and materials
http://kg_sdm.org/Person/Zhirnov_V_V_,Roadmap on biological pathways for electronic nanofabrication and materials
http://kg_sdm.org/Person/Beard_R_W_,Relative multiplicative extended Kalman filter for observable GPS-denied navigation
http://kg_sdm.org/Person/Brink_K_M_,Relative multiplicative extended Kalman filter for observable GPS-denied navigation
http://kg_sdm.org/Person/Koch_D_P_,Relative multiplicative extended Kalman filter for observable GPS-denied navigation
http://kg_sdm.org/Person/McLain_T_W_,Relative multiplicative extended Kalman filter for observable GPS-denied navigation
http://kg_sdm.org/Person/Wheeler_D_O_,Relative multiplicative extended Kalman filter for observable GPS-denied navigation
http://kg_sdm.org/Person/Beyerlein_I_J_,"Formability of magnesium alloy AZ31B from room temperature to 125, °C under biaxial tension"
http://kg_sdm.org/Person/Chelladurai_I_,"Formability of magnesium alloy AZ31B from room temperature to 125, °C under biaxial tension"
http://kg_sdm.org/Person/Knezevic_M_,"Formability of magnesium alloy AZ31B from room temperature to 125, °C under biaxial tension"
http://kg_sdm.org/Person/Miles_M_P_,"Formability of magnesium alloy AZ31B from room temperature to 125, °C under biaxial tension
_____
Predicting recrystallized grain size in friction stir processed 304L stainless steel
_____
Solid state crack repair by friction stir processing in 304L stainless steel"
http://kg_sdm.org/Person/Orme_A_D_,"Formability of magnesium alloy AZ31B from room temperature to 125, °C under biaxial tension
_____
Analysis of distortion phase shift in a highly loaded fan stage"
http://kg_sdm.org/Person/Bickham_B_P_,Biocompatible PEGDA Resin for 3D Printing
http://kg_sdm.org/Person/Chartrand_N_,Biocompatible PEGDA Resin for 3D Printing
http://kg_sdm.org/Person/Christensen_K_A_,Biocompatible PEGDA Resin for 3D Printing
http://kg_sdm.org/Person/Cook_A_D_,"Biocompatible PEGDA Resin for 3D Printing
_____
Corrigendum: Efficient decellularization of whole porcine kidneys improves reseeded cell behavior (Biomedical Materials (Bristol) (2016) 11 (025003) DOI: 10.1088/1748-6041/11/2/025003)"
http://kg_sdm.org/Person/Franks_N_A_,Biocompatible PEGDA Resin for 3D Printing
http://kg_sdm.org/Person/Knight_C_J_,Biocompatible PEGDA Resin for 3D Printing
http://kg_sdm.org/Person/Valdoz_J_C_,Biocompatible PEGDA Resin for 3D Printing
http://kg_sdm.org/Person/Van_Ry_P_M_,Biocompatible PEGDA Resin for 3D Printing
http://kg_sdm.org/Person/Warr_C_,Biocompatible PEGDA Resin for 3D Printing
http://kg_sdm.org/Person/Billings_W_M_,Polyethylene Glycol Based Changes to β-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location
http://kg_sdm.org/Person/Brown_N_P_,Polyethylene Glycol Based Changes to β-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location
http://kg_sdm.org/Person/Bécar_N_A_,Polyethylene Glycol Based Changes to β-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location
http://kg_sdm.org/Person/Draper_S_R_E_,Polyethylene Glycol Based Changes to β-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location
http://kg_sdm.org/Person/Lawrence_P_B_,Polyethylene Glycol Based Changes to β-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location
http://kg_sdm.org/Person/Matheson_D_J_,Polyethylene Glycol Based Changes to β-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location
http://kg_sdm.org/Person/Price_J_L_,Polyethylene Glycol Based Changes to β-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location
http://kg_sdm.org/Person/Stephens_A_R_,Polyethylene Glycol Based Changes to β-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location
http://kg_sdm.org/Person/Xiao_Q_,Polyethylene Glycol Based Changes to β-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location
http://kg_sdm.org/Person/Bingham_E_,Identifying Team Selection and Alignment Factors by Delivery Method for Transportation Projects
http://kg_sdm.org/Person/Edward_Gibson_G_,Identifying Team Selection and Alignment Factors by Delivery Method for Transportation Projects
http://kg_sdm.org/Person/El_Asmar_M_,Identifying Team Selection and Alignment Factors by Delivery Method for Transportation Projects
http://kg_sdm.org/Person/Bird_E_,"Effect of environmental and material factors on the response of nanocomposite foam impact sensors
_____
Estimation of 3D Ground Reaction Force Using Nanocomposite Piezo-Responsive Foam Sensors During Walking"
http://kg_sdm.org/Person/Bowden_A_E_,"Effect of environmental and material factors on the response of nanocomposite foam impact sensors
_____
Estimation of 3D Ground Reaction Force Using Nanocomposite Piezo-Responsive Foam Sensors During Walking
_____
Nano-Composite Foam Sensor System in Football Helmets"
http://kg_sdm.org/Person/Rosquist_P_,"Effect of environmental and material factors on the response of nanocomposite foam impact sensors
_____
Estimation of 3D Ground Reaction Force Using Nanocomposite Piezo-Responsive Foam Sensors During Walking"
http://kg_sdm.org/Person/Seeley_M_K_,"Effect of environmental and material factors on the response of nanocomposite foam impact sensors
_____
Estimation of 3D Ground Reaction Force Using Nanocomposite Piezo-Responsive Foam Sensors During Walking
_____
Nano-Composite Foam Sensor System in Football Helmets"
http://kg_sdm.org/Person/Bischoff_M_,An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy
http://kg_sdm.org/Person/Dornisch_W_,"An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy
_____
Isogeometric Bézier dual mortaring: Refineable higher-order spline dual bases and weakly continuous geometry"
http://kg_sdm.org/Person/Miao_D_,"An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy
_____
Bézier B̄ projection
_____
Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems"
http://kg_sdm.org/Person/Oesterle_B_,An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy
http://kg_sdm.org/Person/Scott_M_A_,"An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy
_____
Bézier B̄ projection
_____
Isogeometric Bézier dual mortaring: Refineable higher-order spline dual bases and weakly continuous geometry
_____
Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems
_____
Hierarchically refined and coarsened splines for moving interface problems, with particular application to phase-field models of prostate tumor growth
_____
Isogeometric boundary element methods and patch tests for linear elastic problems: Formulation, numerical integration, and applications"
http://kg_sdm.org/Person/Zou_Z_,"An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy
_____
Isogeometric Bézier dual mortaring: Refineable higher-order spline dual bases and weakly continuous geometry
_____
Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems"
http://kg_sdm.org/Person/Bodily_D_M_,"Motion planning for mobile robots using inverse kinematics branching
_____
Multi-objective design optimization of a soft, pneumatic robot"
http://kg_sdm.org/Person/Killpack_M_D_,"Motion planning for mobile robots using inverse kinematics branching
_____
Multi-objective design optimization of a soft, pneumatic robot"
http://kg_sdm.org/Person/Bohman_M_,Microcontroller compiler-assisted software fault tolerance
http://kg_sdm.org/Person/Goeders_J_,Microcontroller compiler-assisted software fault tolerance
http://kg_sdm.org/Person/James_B_,Microcontroller compiler-assisted software fault tolerance
http://kg_sdm.org/Person/Quinn_H_,Microcontroller compiler-assisted software fault tolerance
http://kg_sdm.org/Person/Wirthlin_M_,"Microcontroller compiler-assisted software fault tolerance
_____
Modeling common cause failures in systems with triple modular redundancy and repair
_____
Impact of soft errors on large-scale FPGA cloud computing
_____
Statistical method to extract radiation-induced multiple-cell upsets in SRAM-Based FPGAs"
http://kg_sdm.org/Person/Bopp_D_G_,Atomic flux circuits
http://kg_sdm.org/Person/Hummon_M_T_,Atomic flux circuits
http://kg_sdm.org/Person/Kitching_J_,Atomic flux circuits
http://kg_sdm.org/Person/Le_K_,Atomic flux circuits
http://kg_sdm.org/Person/Schima_S_,Atomic flux circuits
http://kg_sdm.org/Person/Taylor_E_,Atomic flux circuits
http://kg_sdm.org/Person/Borden_M_J_,"Bézier B̄ projection
_____
Isogeometric Bézier dual mortaring: Refineable higher-order spline dual bases and weakly continuous geometry
_____
Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems"
http://kg_sdm.org/Person/Thomas_D_C_,"Bézier B̄ projection
_____
Isogeometric Bézier dual mortaring: Refineable higher-order spline dual bases and weakly continuous geometry
_____
Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems"
http://kg_sdm.org/Person/Boyce_P_,Cryptanalysis of Lempel-Ziv Compressed and Encrypted Text: The Statistics of Compression
http://kg_sdm.org/Person/Harrisony_W_K_,Cryptanalysis of Lempel-Ziv Compressed and Encrypted Text: The Statistics of Compression
http://kg_sdm.org/Person/Briceño_X_,On carrier frequency and phase synchronization for coded 16-APSK in aeronautical mobile telemetry
http://kg_sdm.org/Person/Redd_B_,On carrier frequency and phase synchronization for coded 16-APSK in aeronautical mobile telemetry
http://kg_sdm.org/Person/Bundy_B_C_,"Corrigendum: Efficient decellularization of whole porcine kidneys improves reseeded cell behavior (Biomedical Materials (Bristol) (2016) 11 (025003) DOI: 10.1088/1748-6041/11/2/025003)
_____
Streamlining the preparation of “endotoxin-free” ClearColi cell extract with autoinduction media for cell-free protein synthesis of the therapeutic protein crisantaspase"
http://kg_sdm.org/Person/Frei_M_,Streamlining the preparation of “endotoxin-free” ClearColi cell extract with autoinduction media for cell-free protein synthesis of the therapeutic protein crisantaspase
http://kg_sdm.org/Person/Hunt_J_P_,Streamlining the preparation of “endotoxin-free” ClearColi cell extract with autoinduction media for cell-free protein synthesis of the therapeutic protein crisantaspase
http://kg_sdm.org/Person/Nelson_J_A_D_,Streamlining the preparation of “endotoxin-free” ClearColi cell extract with autoinduction media for cell-free protein synthesis of the therapeutic protein crisantaspase
http://kg_sdm.org/Person/Soltani_M_,Streamlining the preparation of “endotoxin-free” ClearColi cell extract with autoinduction media for cell-free protein synthesis of the therapeutic protein crisantaspase
http://kg_sdm.org/Person/Zhao_E_L_,Streamlining the preparation of “endotoxin-free” ClearColi cell extract with autoinduction media for cell-free protein synthesis of the therapeutic protein crisantaspase
http://kg_sdm.org/Person/Bunnell_S_,Structural design space exploration using principal component analysis
http://kg_sdm.org/Person/Gorrell_S_,"Structural design space exploration using principal component analysis
_____
Analysis of distortion phase shift in a highly loaded fan stage"
http://kg_sdm.org/Person/Ruoti_C_,Structural design space exploration using principal component analysis
http://kg_sdm.org/Person/Salmon_J_,"Structural design space exploration using principal component analysis
_____
Identifying mode shapes of turbo-machinery blades using principal component analysis and support vector machines
_____
A comparative analysis of computer-aided design team performance with collaboration software
_____
A Systems Engineering Approach to Harnessing Human Energy in Public Places: A Feasibility Study"
http://kg_sdm.org/Person/Thelin_C_,Structural design space exploration using principal component analysis
http://kg_sdm.org/Person/Butler_J_J_,"Highly compressible origami bellows for microgravity drilling-debris containment
_____
Thick folding through regionally-sandwiched compliant sheets
_____
Using Cyclic Quadrilaterals to Design Cylindrical Developable Mechanisms"
http://kg_sdm.org/Person/Howell_L_L_,"Highly compressible origami bellows for microgravity drilling-debris containment
_____
Using Cyclic Quadrilaterals to Design Cylindrical Developable Mechanisms
_____
A Review of Thickness-Accommodation Techniques in Origami-Inspired Engineering
_____
Closure to ""discussion of 'a review of thickness-accommodation techniques in origami-inspired engineering'"" (Lang, R. J., Tolman, K. A., Crampton, E. B., Magleby, S. P., and Howell, L. L., 2018, ASME Appl. Mech. Rev., 70(1), p. 010805)
_____
Realizing origami mechanisms from metal sheets
_____
Optimization of origami-based tubes for lightweight deployable structures
_____
Regular 2D and 3D linkage-based origami tessellations
_____
Thick rigidly foldable origami mechanisms based on synchronized offset rolling contact elements"
http://kg_sdm.org/Person/Pehrson_N_A_,"Thick folding through regionally-sandwiched compliant sheets
_____
Kinetostatic and dynamic analyses of planar compliant mechanisms via a two-port dynamic stiffness model"
http://kg_sdm.org/Person/Greenwood_J_R_,Using Cyclic Quadrilaterals to Design Cylindrical Developable Mechanisms
http://kg_sdm.org/Person/Hyatt_L_P_,Using Cyclic Quadrilaterals to Design Cylindrical Developable Mechanisms
http://kg_sdm.org/Person/Calton_M_F_,Modeling acoustic resonators using higher-order equivalent circuits
http://kg_sdm.org/Person/Copley_D_C_,Modeling acoustic resonators using higher-order equivalent circuits
http://kg_sdm.org/Person/Goates_C_B_,Modeling acoustic resonators using higher-order equivalent circuits
http://kg_sdm.org/Person/Sommerfeldt_S_D_,"Modeling acoustic resonators using higher-order equivalent circuits
_____
Case study: Noise reduction of a vacuum-assisted toilet"
http://kg_sdm.org/Person/Calvin_J_J_,Review of surface water interactions with metal oxide nanoparticles
http://kg_sdm.org/Person/Navrotsky_A_,Review of surface water interactions with metal oxide nanoparticles
http://kg_sdm.org/Person/Woodfield_B_F_,Review of surface water interactions with metal oxide nanoparticles
http://kg_sdm.org/Person/Hammond_A_M_,Accelerating silicon photonic parameter extraction using artificial neural networks
http://kg_sdm.org/Person/Potokar_E_,Accelerating silicon photonic parameter extraction using artificial neural networks
http://kg_sdm.org/Person/Campbell_B_D_,Puzzling the pieces: Conceptual blocks of engineering student ideas in a service learning project
http://kg_sdm.org/Person/Cannon_M_J_,Modeling common cause failures in systems with triple modular redundancy and repair
http://kg_sdm.org/Person/Keller_A_,"Modeling common cause failures in systems with triple modular redundancy and repair
_____
Impact of soft errors on large-scale FPGA cloud computing"
http://kg_sdm.org/Person/Perez_Celis_A_,"Modeling common cause failures in systems with triple modular redundancy and repair
_____
Statistical method to extract radiation-induced multiple-cell upsets in SRAM-Based FPGAs"
http://kg_sdm.org/Person/Cao_J_,Kinetostatic and dynamic analyses of planar compliant mechanisms via a two-port dynamic stiffness model
http://kg_sdm.org/Person/Ling_M_,Kinetostatic and dynamic analyses of planar compliant mechanisms via a two-port dynamic stiffness model
http://kg_sdm.org/Person/Cattaneo_A_,Visio-acoustic data fusion for structural health monitoring applications
http://kg_sdm.org/Person/Duffy_Deno_C_A_,Visio-acoustic data fusion for structural health monitoring applications
http://kg_sdm.org/Person/Mascarenas_D_,Visio-acoustic data fusion for structural health monitoring applications
http://kg_sdm.org/Person/Samuelson_C_R_,Visio-acoustic data fusion for structural health monitoring applications
http://kg_sdm.org/Person/Tippmann_J_D_,Visio-acoustic data fusion for structural health monitoring applications
http://kg_sdm.org/Person/Whitworth_C_B_,Visio-acoustic data fusion for structural health monitoring applications
http://kg_sdm.org/Person/Cayeux_E_,"Creating open source models, test cases, and data for oilfield drilling challenges"
http://kg_sdm.org/Person/Hedengren_J_D_,"Creating open source models, test cases, and data for oilfield drilling challenges
_____
Disaster reconnaissance using multiple small unmanned aerial vehicles"""
http://kg_sdm.org/Person/Cheney_T_,Small aircraft flight encounters database for UAS sense and avoid
http://kg_sdm.org/Person/Kang_C_K_,Small aircraft flight encounters database for UAS sense and avoid
http://kg_sdm.org/Person/Roberts_A_K_,Small aircraft flight encounters database for UAS sense and avoid
http://kg_sdm.org/Person/Chiang_S__H_W_,Design of low-power ultra-high voltage gain differential cascode stages
http://kg_sdm.org/Person/Comer_D_J_,Design of low-power ultra-high voltage gain differential cascode stages
http://kg_sdm.org/Person/Clark_B_,Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications
http://kg_sdm.org/Person/Flanary_D_,Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications
http://kg_sdm.org/Person/Harrison_W_K_,"Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications
_____
Physical-layer security for aeronautical telemetry
_____
Irregular quadrature amplitude modulation for adaptive physical-layer security
_____
Polar coding for physical-layer security without knowledge of the eavesdropper's channel"
http://kg_sdm.org/Person/Jensen_B_,Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications
http://kg_sdm.org/Person/Nelson_N_,Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications
http://kg_sdm.org/Person/Norman_K_,Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications
http://kg_sdm.org/Person/Perrins_E_,Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications
